V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,X1,X2,X3,X4,X5,X6,X7
7.609075e-01+j1.581791e+00,1.675544e+00+j1.994272e+00,2.660467e+00+j1.922140e+00,3.460216e+00+j1.427560e+00,3.923691e+00+j7.016881e-01,4.048563e+00-j4.987434e-02,3.925813e+00-j6.959315e-01,3.662444e+00-j1.190125e+00,3.340353e+00-j1.538746e+00,3.009665e+00-j1.768779e+00,3.1263e-09,6.26025e-09,1915.2,1386,1818,1077.3,2096.25
-5.058628e+00-j1.313918e+00,-4.543999e+00-j1.972115e+00,-3.963194e+00-j2.386188e+00,-3.396955e+00-j2.608434e+00,-2.888232e+00-j2.693380e+00,-2.451767e+00-j2.688513e+00,-2.086393e+00-j2.629308e+00,-1.784083e+00-j2.539881e+00,-1.534898e+00-j2.435660e+00,-1.329281e+00-j2.326148e+00,4.9725e-09,2.7234e-09,3216,1664.4,240000,2416.5,1238.25
5.658681e+00+j1.017609e+01,2.382926e+01-j1.756401e+00,8.452476e+00-j1.144839e+01,3.510625e+00-j8.472589e+00,1.943799e+00-j6.541562e+00,1.252643e+00-j5.333166e+00,8.827385e-01-j4.513335e+00,6.594667e-01-j3.919864e+00,5.133479e-01-j3.469215e+00,4.119649e-01-j3.114583e+00,6.07155e-09,6.4056e-09,3196.8,3120,2790,2538.9,1035.75
3.433222e+00+j3.581091e+00,6.722194e+00+j1.732213e+00,6.757604e+00-j1.666460e+00,5.060208e+00-j3.266291e+00,3.607728e+00-j3.584202e+00,2.631573e+00-j3.455347e+00,1.986557e+00-j3.208489e+00,1.547838e+00-j2.949558e+00,1.238532e+00-j2.710090e+00,1.013153e+00-j2.497254e+00,3.9576e-09,7.191e-09,3562.8,2898,2660.4,2254.5,1826.25
3.626762e+00+j4.709880e+00,5.787862e+00+j4.784672e+00,7.161042e+00+j4.300127e+00,8.001990e+00+j3.732740e+00,8.530988e+00+j3.215832e+00,8.877359e+00+j2.772471e+00,9.113082e+00+j2.396370e+00,9.278908e+00+j2.075646e+00,9.398799e+00+j1.799205e+00,9.487376e+00+j1.557995e+00,7.52505e-09,4.78125e-09,24,2184,3206.4,1671.3,1731
4.102430e-01-j8.552450e-02,3.380546e-01-j1.744445e-01,2.650940e-01-j2.078571e-01,2.061925e-01-j2.138927e-01,1.617043e-01-j2.075399e-01,1.286529e-01-j1.962683e-01,1.040026e-01-j1.835866e-01,8.539182e-02-j1.710621e-01,7.112845e-02-j1.593378e-01,6.002213e-02-j1.486311e-01,5.1e-08,6.528e-09,3273.6,3250.8,1467.6,1584,2238.75
3.296921e+00+j5.672283e+00,5.892392e+00+j6.496948e+00,7.892574e+00+j6.383738e+00,9.290776e+00+j5.914463e+00,1.025145e+01+j5.361862e+00,1.092001e+01+j4.829512e+00,1.139588e+01+j4.349448e+00,1.174303e+01+j3.926539e+00,1.200221e+01+j3.556296e+00,1.219981e+01+j3.231727e+00,3.07785e-09,4.6002e-09,24,1297.2,2604,1756.8,1115.25
1.006397e-01-j6.342248e-02,6.954022e-02-j7.030010e-02,4.816673e-02-j6.672791e-02,3.439113e-02-j6.043953e-02,2.542726e-02-j5.411806e-02,1.941278e-02-j4.850523e-02,1.523651e-02-j4.370643e-02,1.224218e-02-j3.964214e-02,1.003303e-02-j3.619478e-02,8.361767e-03-j3.325371e-02,5.1e-07,6.77025e-09,3055.2,1921.2,1942.8,2191.5,952.5
1.562840e+00+j2.578032e+00,3.279329e+00+j2.883897e+00,4.812151e+00+j2.197304e+00,5.663033e+00+j9.291447e-01,5.790568e+00-j3.798063e-01,5.446950e+00-j1.416817e+00,4.897252e+00-j2.120556e+00,4.307583e+00-j2.548598e+00,3.756268e+00-j2.781177e+00,3.270866e+00-j2.884974e+00,2.8611e-09,3.97545e-09,2646,3529.2,2496,2441.7,2001.75
3.303115e+00+j8.278668e+00,1.271344e+01+j1.200623e+01,2.404990e+01-j2.189535e-01,1.562448e+01-j1.147490e+01,8.524868e+00-j1.150505e+01,5.203597e+00-j9.903447e+00,3.510562e+00-j8.491880e+00,2.540804e+00-j7.392868e+00,1.932526e+00-j6.538092e+00,1.524475e+00-j5.860279e+00,6.7269e-09,6.15315e-09,1543.2,2263.2,2377.2,2112.3,873.75
